video_url,prompt
https://static.higgsfield.ai/7339b262-6273-44e9-bd57-35e2d4de2803.mp4,"A woman stands confidently, smiling as she wears a stylish black hat adorned with embellishments, her loose denim overalls framing her freckled skin. Behind her, the sky shifts to a fiery orange as a building suddenly explodes, sending debris and chaos into the air. The blast wave rushes toward her, knocking her hat off, while her hair is dramatically swept back by the forceful wind. The atmosphere thickens with tension; a juxtaposition of serene beauty against the violent eruption. As the shockwave unfolds, dust particles catch the setting sun's light, creating an ethereal glow around her in this stunning moment of unexpected transformation."
https://static.higgsfield.ai/61d87cb4-8bb4-4253-9270-6617917af578.mp4,Helicopter shoots building with machine gun and it explodes
https://static.higgsfield.ai/b5475716-7ffa-4e91-b7e5-60ff8613d019.mp4,"People explode into chaos as the grand building erupts in flames, sending shards of stone and dust into the gray sky. The once orderly crowd now flees in a frenzied panic, faces twisted in fear and desperation as they scatter in all directions. The vibrant marketplace, filled with colorful stalls and wooden artifacts, transforms into a scene of chaos and confusion, shadows flickering against the blazing backdrop. The atmosphere is thick with smoke, punctuated by the sharp sounds of collapsing masonry and horrified cries. A sense of urgency permeates the air as onlookers frantically seek safety, their movements chaotic and disorganized. In this moment, the historic beauty of the square contrasts starkly with the unfolding disaster, heightening the emotional weight of the scene."
https://static.higgsfield.ai/0a63e644-4883-408b-b086-79c89260267e.mp4,Magician casts spell and city in the background explodes to ashes
https://static.higgsfield.ai/3bb6e89c-80a0-44b7-82a8-40f8e1ba9f8e.mp4,"skyscraper in background explodes, while woman looking to a viewer with shocked face, blast wave blows her hair"
https://static.higgsfield.ai/b65e6f38-da70-4d9d-b9eb-3587d91c99ba.mp4,"Girl presses button and screams angrily, the station behind her explodes"
https://static.higgsfield.ai/608431d2-a7cf-4a7d-bf49-9c9c4f5a5e65.mp4,"A monk in a flowing orange robe sits calmly in a serene lotus position, eyes gently closed, exuding an aura of tranquility. The room around him erupts in a spectacle of chaos, with flames and debris suspended in the air, creating a stark contrast against his poised demeanor. Soft rays of golden light filter through the ancient wooden beams of the temple, highlighting the swirling dust and smoke. Each flicker of the flames reflects on his serene face, revealing a profound inner strength amidst the tumult. The intricate details of the temple create a rich backdrop, accentuating the emotional gravity of this moment, as the air vibrates with intense energy."
https://static.higgsfield.ai/793c473d-d1c8-42b4-ad07-98c24619ac0f.mp4,"Two shadowy figures, a man and a woman, stand side by side, their silhouettes framed by expansive glass windows overlooking a vast cityscape bathed in a deep blue twilight. Inside the dimly lit room, sleek modern furniture evokes a sense of calm, contrasting starkly with the ominous skyline that hints at chaos outside. The atmosphere is thick with anticipation, their stillness betraying an underlying tension as flickering lights punctuate the horizon. As they gaze out, a palpable energy builds, foreshadowing the impending explosion that will shatter this serene moment. The cool, subdued colors emphasize their solemn expressions, drawing viewers into a narrative charged with emotion and impending action."
https://static.higgsfield.ai/6d7152cd-c350-4370-8b2a-99c91543edab.mp4,"A bustling industrial scene unfolds on a snowy, fog-laden night. People in military uniforms and civilians move along the side of a colossal, red-brick factory building, its windows glowing warmly from the activity inside. Military trucks are parked along the street, their headlights piercing through the haze. Overhead, a network of power lines stretches across the sky. Suddenly, a thunderous explosion erupts from within the building, blowing out several windows with a fiery blast. The force of the blast sends a shockwave outward, knocking people off their feet and scattering debris across the snow-covered ground. The air fills with dust, smoke, and the echoing shouts of panic as figures scramble to regain their footing or flee from the scene."
https://static.higgsfield.ai/50096124-60ce-4696-89c3-c6ca5f7a92e6.mp4,"A young woman with long hair and striking makeup holds her phone up for a selfie, exuding confidence and playfulness. Suddenly, an explosion erupts from a nearby building, casting a fiery glow through the glass window, illuminating her face with shock and fear. The camera begins to shake slightly, creating a sense of chaos as her expression shifts from playful to terrified. Outside, smoke billows and debris scatters, contrasting the sleek modernity of the skyscraper backdrop. The atmosphere thickens with tension as sirens wail in the distance, and her heart races, capturing the essence of survival amid the impending danger."
https://static.higgsfield.ai/2959ee8c-5a0f-4192-8647-226f3e2027dc.mp4,"A coastal artillery fort nestled against towering white cliffs, its concrete walls reinforced with dark, weathered steel. Two men dressed in dark coats and military caps stand on the rocky beach, gazing toward the looming bunker. Suddenly, the second floor of the bunker erupts in a fiery explosion, concrete fragments and debris flying outward. A deafening shockwave tears through the air, violently hurling the two men backward, their coats flapping wildly as they are thrown onto the jagged beach. The scene is shrouded in gray mist, the echo of the explosion rolling across the desolate shore."
https://static.higgsfield.ai/4ad230f9-31ca-4133-880a-ccc9d1fd5622.mp4,"In a moment of imminent chaos, two figures stand close together, their expressions a mixture of shock and determination. The towering glass building around them reflects the harsh light of day, its towering height becoming a symbol of impending disaster. Suddenly, a rumble reverberates through the air, and the ground shakes beneath their feet as the building explodes in a fiery eruption. Panic ensues as people scramble in all directions, their faces filled with terror and urgency. Flashes of orange and red light pierce the atmosphere, casting dramatic shadows that dance across the stillness of their moment. The air thickens with smoke and debris, a chaotic tableau of fear and survival unfolding."
https://static.higgsfield.ai/2ba6022e-6254-4787-bbd7-36278ec2de3c.mp4,"On a sleek modern balcony at dusk, two aliens recline in sleek loungers, exuding a calm that sharply contrasts the turmoil outside. The golden rays of sunset illuminate the sharp angles of the surrounding skyscrapers, casting long shadows that suggest both depth and foreboding. Suddenly, a thunderous explosion erupts from a nearby building, sending shards of glass flying and creating a violent burst of orange and smoke against the cobalt sky. Panic grips the aliens; their expressions shift from relaxation to bewildered fear as they scramble to react, their silhouettes stark against the chaos behind them. The camera captures their frantic movements, weaving through the tension of the moment, revealing the immense height above the city and the perilous drop below."
