video_url,prompt
https://static.higgsfield.ai/22e14e56-66b4-4e5d-ae2a-73b338b76fee.mp4,"A girl with a playful expression poses for the camera, showing a peace sign with her hand and smiling brightly. She is dressed in a school uniform with a cardigan, complementing her short, wavy blonde hair. The bustling cityscape serves as a backdrop, filled with towering skyscrapers reflecting the afternoon sun, casting vibrant shadows. Bright colors from her outfit contrast against the urban greys, adding to the lively atmosphere. Her exaggerated anime-inspired aesthetics, like embellished nails, highlight her playful personality, creating a sense of joy and spontaneity. The camera angle is slightly tilted upward, capturing her enthusiasm and the height of the city around her."
https://static.higgsfield.ai/3776e411-a7d9-4476-9d30-80c4aa92ad0d.mp4,"A static camera shot frames a young man standing outdoors under a vibrant blue sky, holding a perfectly intact ice cream cone in a gloved hand. Dressed in a bold maroon blazer and wearing a silver cross earring, he stands motionless in the center of the frame. Slowly, without changing his posture, he lifts the ice cream cone closer to his face. Then, without shifting his body or gaze, he extends his tongue and gently licks the surface of the pristine ice cream — a single, slow motion. Afterward, he returns to his original still pose, holding the cone near his chest, and continues to stare directly into the camera with an unreadable, calm expression. The camera remains fixed, and the background — with distant trees and a ferris wheel — stays softly blurred and undisturbed."
https://static.higgsfield.ai/04271eef-84c5-47c2-9a88-6a52cad9b1ac.mp4,"Static shot. A young woman with sleek, wet black hair and black dots painted across her cheeks, partially submerged in calm water, holding a large slice of watermelon. Open, serene water under a clear blue sky, the woman’s reflection mirrored perfectly on the water’s surface, minimalistic and tranquil. She gently bites off a piece, leaving a fresh, curved mark in the bright red flesh. She chews slowly with subtle satisfaction. Centered close-up, perfectly level with the water, creating a symmetrical visual between subject and reflection. Calm and playful, summery with a hint of surreal charm. Natural look with artistic face detail, no visible clothing, emphasizing purity, contrast, and softness."
https://static.higgsfield.ai/3951e7bb-1429-43eb-82b4-e470d7cfbd6f.mp4,"Static shot. A confident man with dark skin, short afro hairstyle, reflective sunglasses, wearing a bright orange shirt under an olive tactical vest, adorned with bold rings and a watch. Studio setting with a solid, vivid red background and controlled lighting focused on the upper body. He boldly opens his left hand toward the sky — a tall, twisting burst of shimmering silver flame erupts from his palm. Centered medium close-up, straight-on angle, with a shallow depth of field isolating the subject and flame. Bold, stylish, and slightly surreal — blending high fashion with a sense of contained supernatural energy. Futuristic urban elegance — vibrant color blocking, structured tactical wear, luxury accessories, contrasted with a magical flame effect."
https://static.higgsfield.ai/c8ff0a43-3900-4b40-9299-1ed90fa69691.mp4,"“A young woman stands still in the middle of a moving crowd. Her expression is lost and confused as she slowly turns her head, looking from side to side, trying to understand where she is. The camera is completely static and does not move, capturing her reaction as people pass by her in the background.”"
https://static.higgsfield.ai/3f069b1f-7124-4fb8-92b3-a9a3a99a2996.mp4,"Static shot. Young woman with striking makeup—vivid pink eyeshadow with gold accents, turquoise lipstick, faux freckles, and geometric turquoise earrings. Studio-lit neutral background, focused entirely on the woman's expressive face, emphasizing her stylized appearance. She slowly blinks, and as her eyes reopen, they reveal snake-like vertical reptilian pupils. A long, forked at еру end tongue slithers out from between her lips. Tight close-up, symmetrical frontal framing, sharp focus on facial features and expressions. Strange and surreal, merging fashion aesthetics with otherworldly transformation. Hyper-stylized, with vivid color blocking, retro-futuristic accessories, and high-contrast makeup that supports the supernatural twist."
https://static.higgsfield.ai/a31e59c2-6c33-4446-9e85-bc0a53669553.mp4,"A young man with bleached hair lies on a simple bed, his leopard-print sweater contrasting the muted tones of the room. He serenely holds a microphone, lost in song, while large headphones rest against his ears, enhancing his focus on the music. The warm, soft lighting bathes the space, creating an intimate glow that highlights his tattoos and the textures of the bed's linens. The atmosphere is rich with a sense of solitude and creativity, as sound waves seem to dance around him, merging with the minimalist backdrop of peeling walls and scattered cushions."
https://static.higgsfield.ai/f5f36adf-a2a9-41cc-8371-7e9074a8ef10.mp4,"“A colorful close-up shot of a young woman covered in vibrant stickers and playful decorations, with detailed nail art on her fingers. She begins making exaggerated, funny faces at the camera rapidly, changing expressions in quick succession. At the same time, she moves her hands and arms in fast-paced, playful Korean-style selfie poses — forming hearts with her fingers, peace signs, winks, chin-holding poses, and framing her face. The camera remains static, emphasizing the joyful and chaotic energy. Lighting is bright and studio-like, with a clean white background and sharp focus on her face and hands.”"
https://static.higgsfield.ai/e6326292-87d1-4971-8005-6b44dde2f5b6.mp4,"A girl with vibrant yellow hair poses confidently in a playful crouch, her expression beaming with a warm smile as she flashes a peace sign with one hand. The scene is set against a backdrop of sleek, glass skyscrapers, the sunlight filtering through, creating a vivid, almost surreal atmosphere. Her striking, long nails are adorned with intricate designs that catch the light, drawing attention to her playful gesture. The urban environment buzzes quietly with the hint of distant traffic, while her outfit combines a modern twist on classic school elements, enhancing the anime-inspired vibe. This energetic moment captures a youthful spirit, underlined by the vivid colors and dynamic composition of the cityscape."
https://static.higgsfield.ai/bd5d9a44-7bcb-404b-b886-75df2876e3ce.mp4,"Static shot. A young woman with slick dark hair, vivid yellow eyeshadow, and multicolored gummy candies gently placed on her face. A playful, bright background decorated with colorful gummy bears evenly spaced across a white wall. The woman slowly lifts a gummy candy to her mouth, smiling softly as she enjoys the treat. Centered close-up framing, steady and focused on her expression and candy details. Cheerful and whimsical, filled with sweetness and youthful charm. Bold, candy-inspired makeup with a soft pink fuzzy garment, playful and pop-art influenced."
