video_url,prompt
https://static.higgsfield.ai/97cf9e35-eda5-4346-953c-b6d15af1b443.mp4,Crane over the head as man stands
https://static.higgsfield.ai/a26c8727-7868-4734-b854-bbdee45c2f38.mp4,Crane over the head of a girl as she looks to the camera
https://static.higgsfield.ai/7d1b34bf-45b2-43ca-8219-c06b67ea8363.mp4,"A young couple relaxes next to a vintage olive-green SUV parked in a peaceful open field. The guy leans coolly against the side of the car in casual denim and a tan overshirt, white oval sunglasses giving him a retro edge. The girl sits cross-legged on the hood, wearing a plaid button-up and yellow-tinted sunglasses, her posture relaxed and wind gently brushing through her hair. They glance at each other with soft smiles, a subtle shift in expression that hints at shared memories or inside jokes. Their energy is effortless, grounded in quiet affection and comfort with one another. Natural lighting gives the scene a warm, golden softness, with long shadows stretching behind the car. The open field in the background adds to the calm, romantic atmosphere. The mood is serene, nostalgic, and intimate—like a still frame from a road trip romance. The styling blends vintage Americana with modern ease, creating a cinematic snapshot of youth, love, and freedom."
https://static.higgsfield.ai/5c282e44-62ab-4130-bd99-161c0f232409.mp4,Crane over the head of a man as he looks over to the camera
https://static.higgsfield.ai/85fd2ee1-3422-4ba8-902f-ba0c782fa2bf.mp4,Crane over the head as man stands calm. The water behind him moves slowly.
https://static.higgsfield.ai/9d5fd172-b4c2-4ffd-8bed-c1a49accffe7.mp4,Crane over the head of a man as he looks over his shoulder
https://static.higgsfield.ai/aecae0f4-1f6b-46b2-8f31-5db4c758b46a.mp4,"A man walking in front of flame, he casually doing rap perfomance, starring at the camera. He fitted in urban black streetwear clothes. Camera movement doing crane over the head technique. Cinematic and vibrant atmosphere."
https://static.higgsfield.ai/7079d313-48f8-4e6e-9a20-46701338f199.mp4,Crane over the head of a man as he smiles straight to the camera
https://static.higgsfield.ai/b04c6456-834f-4b91-9e3e-9253b806b894.mp4,"Crane over the head as girl follows the viewer's eyes with her gaze, carefully adjusting her glasses"
https://static.higgsfield.ai/0370526b-6053-4128-bc87-107d8a92677e.mp4,Crane over the head of a man as he sits confident in his chair
https://static.higgsfield.ai/2f5517f9-a322-4355-b468-a48b79d694f9.mp4,He looks up at the camera and follows it with his gaze
https://static.higgsfield.ai/a28a446a-b96a-4d3f-8c5e-e827beea6ee5.mp4,"He slowly drinks from the bottle, leaning against the car"
