video_url,prompt
https://static.higgsfield.ai/39cf50cd-26ea-4793-a32f-0d906e38d1f5.mp4,A man takes out a gun and takes aim to a moving far away target. Then shoots.
https://static.higgsfield.ai/fc4b0693-d283-4289-b260-c5776a361cbd.mp4,"hyper realistic, unreal engine 5, zoom in toward a colossal robot striding through the raging ocean, each step sending waves surging outward. Storm clouds churn above, lightning flickers in the distance, and the robot’s glowing core illuminates its mechanical frame as it advances directly toward the viewer with unstoppable force. The sea roars beneath it, amplifying the dramatic, apocalyptic atmosphere."
https://static.higgsfield.ai/7cdc16a3-7c49-4297-864e-d595806ac78d.mp4,"Camera begins with the woman in a bright pink rabbit suit confidently reading rap under the scorching sun. Sand blows gently in the desert breeze. Suddenly, the camera makes a fast zoom in toward the man in the background—dressed in a bee costume and standing inside a rusty convertible. His expression is fierce, eyes locked forward, aggressively delivering rap verses with sharp gestures and intense energy, commanding the scene with raw attitude."
https://static.higgsfield.ai/ee7e672d-5db7-40e6-be64-cbc8ffe46c26.mp4,Crash zoom in on a man as he walks to the car
https://static.higgsfield.ai/f92d8357-8ea4-4d11-a3da-99351fc10ff7.mp4,"A man dressed in a dark coat stands hunched over a perfectly still body of water under a pale white sky, his hands drooping toward the glassy surface. The camera is centered in front of him at eye level, capturing his melancholic posture and the flawless reflection of his silhouette in the mirror-like water. Suddenly, the camera fast zooms in with cinematic precision, the sound dims, and the world blurs into a surreal ripple. In one continuous motion, the perspective shifts beneath the waterline to reveal the same man now fully submerged, suspended in an eerie underwater void. His body is limp, floating in a fetal hunch, untouched by gravity. The light above him is faint and diffused, casting ghostly shadows on his form, emphasizing his solitude and introspective stillness. The transition is smooth and dreamlike, enhancing the emotional weight of the descent."
https://static.higgsfield.ai/d9f90d10-bdc9-4b13-a2f4-aa3a4c1b4c53.mp4,"The camera focuses on the man's head, he takes off his glasses and looks straight into the camera and smiles"
https://static.higgsfield.ai/858fa028-22a2-407e-8a51-4a3b8cc31e0d.mp4,Monk throws away the heavy water can and starts running towards a forest.
https://static.higgsfield.ai/18a1bac8-73ff-4f58-a4c5-7e623b90e600.mp4,"A black and white street scene focuses on the face of a man getting a haircut on the sidewalk. He is sitting on a box, the barber carefully and precisely cutting his hair. The camera is focused on him.The rough texture of the city, the fallen hair on the sidewalk and the gritty urban energy give the image a poetic documentary feel. Style: Black and white, urban street photography Mood: Intense, expressive, real Camera angle: Medium-close focus on the rapper's face Details: The tension of his face as he raps, the trimmer near his head, the surrounding city life frozen around them"
https://static.higgsfield.ai/ba294e2c-c76d-499a-949c-bc56c25bb621.mp4,"In a vivid kitchen adorned with pastel hues and quirky contrasts, the atmosphere hums with an unusual tension, the vibrant green countertops buzzing against the backdrop of yellow cabinets. Potatoes lay scattered, hinting at a domestic ritual poised for disruption. Suddenly, the camera crashes inward, zeroing in on the model’s hand, gloved in bright red, fiercely gripping a potato peeler while her eyes burn with intensity. The focus sharpens on the peeling action, the shiny blade flickering as it glides against the potato's surface, revealing layers of skin and essence. This pivotal moment amplifies the emotional stakes, merging beauty and an undercurrent of chaos, inviting the viewer to become entangled in the juxtaposition of art and labor."
https://static.higgsfield.ai/e870d5b9-5613-430a-9181-e03e6d52f84e.mp4,"Camera fast zooms in to the cabin of the flying helicopter, revealing the intense, focused gaze of the pilot. He wears a white pilot's helmet with a visor slightly lowered, his face lit dimly by the control panel glow, eyes locked ahead with determination."
