video_url,prompt
https://static.higgsfield.ai/70bd5764-9faa-4032-9ed5-9819ba27bd05.mp4,"Dynamic frontal shot of a lively character with expressive gestures and an open mouth. Smoothly move the camera forward into the character's mouth, seamlessly transitioning into the next scene through this creative entry point. Maintain vibrant colors, playful lighting, and an engaging atmosphere, highlighting the whimsical, energetic nature of the character."
https://static.higgsfield.ai/807c5bb8-0585-4ea7-a1cf-21d82e3e350f.mp4,Girl covered in blood smokes. Camera transitions in her mouth.
https://static.higgsfield.ai/9854fbdb-f6f6-4a77-b78a-49feece23ba5.mp4,"A cute little purple monster in forest, camera transitions in his mouth. ."
https://static.higgsfield.ai/1b129bdb-9808-4941-ad9c-a84dcbc2f817.mp4,"A vibrant fashion-editorial close-up captures a striking woman against a vivid pink background, wearing oversized transparent sunglasses with pink frames and yellow lenses, bold glossy red lipstick, sleek hair, and dramatic golden earrings. She open her mouth. The camera swiftly moves forward, smoothly entering through her opened lips, dynamically transitioning to reveal a surreal, dreamlike garden landscape with lush rolling grass, metallic spheres, whimsical white fences, and a gleaming stepladder set against an intense magenta sky, creating an imaginative and captivating visual shift."
https://static.higgsfield.ai/8f0c12ad-22a2-4467-8e55-84c2d043cc51.mp4,"A creature makes an evil laugh, the camera transitions into its mouth,"
https://static.higgsfield.ai/328126ff-e914-46cb-bc10-13ffc21f93dc.mp4,"a frontal close-up shot of a donkey calmly looking directly into the camera against a clear, expansive sky. Gradually push the camera forward in a smooth, steady movement, zooming directly into the donkey's slightly open mouth to create a playful, surreal transition into the next scene. Maintain vibrant, natural colors and soft lighting, ensuring clarity and visual continuity through the mouth-camera transition."
https://static.higgsfield.ai/6aaca960-f6eb-4c33-a2c7-be93275ee13f.mp4,"A fox, camera transitions in it's mouth. ."
https://static.higgsfield.ai/1ad33cbc-c85a-498c-bf5d-8f468dd2d3dc.mp4,"A black man, camera transitions in his mouth. ."
https://static.higgsfield.ai/0ac43706-28aa-4fcc-969c-ac15c65be948.mp4,"Futuristic girl wearing a black latex, camera transitions in her mouth. ."
https://static.higgsfield.ai/48d540fc-44e1-4133-8da4-0e257959f29d.mp4,"Bee flies up, camea transitions into its mouth,"
https://static.higgsfield.ai/84d55299-2114-409b-a0de-dfe3bdef0e64.mp4,Girl with golden teeth. Camera transitions in her mouth.
https://static.higgsfield.ai/3b3fae5b-d811-4d1d-b980-9e630487e187.mp4,"Create a dynamic, cinematic portrait animation of this subject. Begin with the subject's mouth closed and transition it smoothly into a natural speaking or singing movement. Synchronize subtle facial expressions and lip movements to imply realistic speech or song, while keeping the dramatic fiery background softly animated with moving flames and subtle flickering light. Maintain the vibrant warm tones, cinematic lighting, and intense mood."
https://static.higgsfield.ai/b24d169d-520f-4fd1-868f-fdb23d124f96.mp4,"A giant shark, camera transitions in it's mouth. ."
https://static.higgsfield.ai/b7127883-555d-4605-b6cd-4c29cd5987f0.mp4,"the creature turns to the camera and opens its mouth to reveal two rows of razor-sharp teeth,"
https://static.higgsfield.ai/8bb8d3f2-bc5e-4522-a8da-16902eadbaa0.mp4,Anime guy. Camera transitions in his mouth.
https://static.higgsfield.ai/6ece4b23-2882-4de1-9d19-9139d7fcc0d1.mp4,"Futuristic girl wearing a sculptural black latex, camera transitions in her mouth. ."
