video_url,prompt
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,"A young man with striking blonde hair featuring bold red and black zigzag patterns stands against a warm, deep red background. He wears a dark blue denim jacket detailed with prominent white stitching over a red shirt, paired with light beige pants and shiny black shoes. His hands are behind his back, not visible, and his piercing gaze meets the camera, eyes hidden behind sleek, dark sunglasses that rest firmly on his face, emanating cool confidence. The scene unfolds on a glossy red-and-white checkered floor that contrasts with the warm, moody lighting, casting subtle shadows and rich textures that accentuate the fabric of his jacket and the smoothness of his skin. The atmosphere is intimate and cinematic, evoking a modern and edgy aesthetic with tactile detail and a contemplative, stylish presence."
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,"Scene starts with a young man, his platinum blond hair streaked with vivid red zigzag patterns, standing on a red and white checkered floor against a deep red backdrop. His denim jacket with stark white stitching and cream pants complement his striking appearance. Slowly, sleek sunglasses descend gracefully from above the frame, edges catching the light. He reaches upward with both hands, fingers curling around the frames, pulling them gently into view. With a smooth, deliberate motion, he sets the sunglasses over his intense blue eyes, hiding them beneath dark lenses. A shadow casts softly at his feet, enhancing the vivid textures of his clothing and hair. The scene is saturated with a cinematic, modern aesthetic, rich in tactile detail and bold color contrast, capturing his confident, enigmatic presence in this moody, stylized environment."
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,"Scene starts with a young man with a shaved head and piercing amber eyes, standing against a deep orange backdrop that bathes his face in warm, dramatic light. His skin glows with golden highlights contrasting rich shadows. Several gold chains and spiked chokers adorn his neck, glinting with textured metallic shine. From above the frame, sleek black sunglasses slide down smoothly as he reaches up with strong hands to grasp them, the lenses reflecting the fiery hues around him. He elevates the sunglasses, deliberately placing them over his eyes with a calm, confident motion. His full lips part slightly, brows strong and defined, evoking a quiet intensity. Wearing a dark shirt, he remains still in the golden hour glow, a striking figure blending modern edge with cinematic warmth."
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,
https://cdn.higgsfield.ai/minimax_hailuo_motion/93da765c-16c3-411f-bc7a-993f138bb12d.mp4,"A young woman with long, flowing black hair and warm, sun-kissed skin sits at an outdoor café bathed in golden hour light. She wears an oversized gray checkered blazer over a black top, her confident expression softened by delicate freckles and subtle winged eyeliner. Her hands enter the frame smoothly from below, reaching up as sleek, dark sunglasses descend gently from above, passing into her graceful fingers. She lifts them deliberately, the glasses sliding into place over her eyes, completing her effortlessly chic look. Behind her, softly lit building facades and reflective windows frame the ambient late afternoon mood, creating a calm, stylish urban atmosphere. The textures of her layered outfit blend with the warm sunlight, highlighting the contrast between shadow and glow in this cinematic, intimate moment."
