video_url,prompt
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,panda
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,panda
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,panda
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,Должны войти два волка и сесть рядом перед парнями смотреть в камеру
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,Должен войти медвежонок и стукаться об ногу девушки девушка умиляется пытается погладить его.
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,пусть появляется панда и смотрит на парня
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,пусть из воды выйдет тюлень
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,
https://cdn.higgsfield.ai/kling_motion/1f93f3b2-1666-44ff-a8db-afceda70d2a0.mp4,
