video_url,prompt
https://static.higgsfield.ai/2896d5ff-531d-4d35-9b04-7ee69227ebbf.mp4,"A confident woman in profile, wearing a white and purple MERBICX cap, large hoop earrings, layered silver chains, and a white basketball jersey, stands against a vivid orange background. In an electrifying moment, her figure erupts into a bold explosion of bright orange, royal purple, glossy white, and metallic silver liquid paint. The burst originates from her hat, jewelry, and shoulder line—swirling through the air in thick, dynamic streams that mimic high-gloss paint in motion. Each color matches her actual accessories and outfit. The orange background remains perfectly still and untouched, heightening the contrast between calm and chaos."
https://static.higgsfield.ai/e6d5bd16-9193-40f3-bb12-d5a62170b239.mp4,"A young man sits on a wooden stool, dressed in vibrant pink attire, including a loose-fitting pink jacket and matching pants. His braided hair gently tousles in the air, while his calm yet contemplative expression suggests tranquility. The set is enveloped in a soft pink hue, with a minimalistic backdrop that heightens the focus on him. Suddenly, a burst of dynamic pink paint explodes outward, enveloping him in a vivid cloud of color, as it splashes violently across the pristine wooden surface below. As the paint settles, he mysteriously vanishes, leaving a haunting emptiness that contrasts sharply with the lively explosion, while the background retains its serene essence."
https://static.higgsfield.ai/6594748c-0f5d-4fa9-a562-4ace95682b48.mp4,"A minimalist urban underpass scene featuring a striking young woman in a bold black outfit and spiked leather choker. She stands confidently beneath a massive concrete overpass, her head slightly tilted upward, chin raised, and eyes shielded by angular reflective sunglasses. Her posture is calm yet commanding, with a faint breeze subtly moving strands of her dark hair. Suddenly, her form erupts into a bold explosion of liquid paint—jet black, glossy charcoal, muted steel gray, and metallic titanium tones burst outward from her upper body in sharp, fluid streaks. The pigments shoot through the air like sharp brushstrokes, echoing the geometry of the overpass above, while the surrounding structure remains untouched—amplifying the surreal tension between human energy and brutalist architecture."
https://static.higgsfield.ai/1bd058fd-1638-4e4e-bd70-9251622cc2cb.mp4,"A golden-hour urban subway platform bathed in warm sunset light. A stylish young man in an orange hoodie and dark sunglasses leans casually against a graffiti-covered silver train car, his posture relaxed as he gazes into the distance. Suddenly, in a vivid surreal twist, his body detonates into a brilliant explosion of vibrant paint—blazing oranges, hot pinks, deep indigos, and fluorescent yellows burst outward, echoing the colors of the train’s graffiti. The blast envelops the surrounding metal and air with wild splashes and ribbons of liquid color. Within seconds, his entire form melts into the fluid chaos—no bones, no traces—just swirling pigments dripping across the train’s surface, as if he was never solid to begin with. The scene freezes mid-transformation, the chaos of color lingering in motion as the train doors close behind where he once stood."
https://static.higgsfield.ai/262f46b2-87c2-494b-9252-1b9dde91d925.mp4,"A fashionable man with pink bleached hair and bright cyan sunglasses sits casually on a vibrant yellow shag carpet, wearing an oversized hot pink ribbed sweater and wide pink jeans, arms relaxed between his spread knees. The atmosphere is charged with a sense of anticipation, as his figure suddenly bursts into a dramatic eruption of thick paint. Viscous streams of bubblegum pink, rich brown, cotton-candy blush, and icy blue explode outward from his head, sleeves, and knees in slow-motion, creating a striking contrast against the unchanging yellow backdrop. The fluid twists and curls dynamically in the air, dripping in glowing arcs, while his fingers tense subtly, capturing a moment of stillness before the vibrant chaos unfolds."
https://static.higgsfield.ai/89bc82f5-4cb9-48fc-8d4a-4b07c20488cb.mp4,"A young woman with braided space buns, wearing a white graphic T-shirt, loose ripped jeans, and bold red sneakers, sits cross-legged against a deep burgundy backdrop, resting her face on her hand with a calm, introspective expression. Suddenly, her entire body bursts into thick streams of matte red, denim blue, muted white, and rich brown liquid paint—exploding from her shoes, jeans, shirt, and hair. The viscous colors spiral outward with gravity and force, mimicking natural paint behavior as they scatter mid-air. Despite the motion, the dark red background remains untouched, emphasizing the vibrant color contrast and emotional stillness beneath the chaos"
https://static.higgsfield.ai/c11e6191-1cea-427d-83ea-cc0c71d0d0e4.mp4,"A composed young man stands in profile, his neatly braided hair framing a calm, almost meditative expression. He wears a striking yellow varsity jacket emblazoned with an embroidered crest, embodying stillness in a twilight-toned studio setting. Suddenly, his figure erupts into a dynamic explosion of liquid paint, as deep navy blues, shimmering silvers, vibrant whites, and soft sandy hues burst outward from his face, braids, and jacket. The pigments swirl and flow through the air in dramatic motion, creating a vivid contrast against the untouched minimalist backdrop. This transformation embodies a striking juxtaposition of serenity and chaos, revealing the energy beneath his composed exterior."
https://static.higgsfield.ai/33ab84b7-4a95-4d81-81c0-66bfce145bd3.mp4,"A moody and cinematic nighttime city scene viewed through a rain-soaked window, capturing a mysterious young woman standing still behind the glass. Her face is softly lit by neon lights in vivid magenta, electric blue, and soft violet tones, casting surreal reflections across her features. Raindrops streak the surface of the glass, distorting the glowing city behind her into a kaleidoscope of color. She gazes forward in silence, her expression unreadable, head slightly tilted as if suspended in thought. Suddenly, her form erupts into a fluid explosion of radiant paint—fluorescent purples, shimmering blues, hot pinks, and soft midnight hues burst outward from her chest and face in slow, swirling streams. The pigments dissolve into the air and smear across the wet glass as her body begins to disintegrate into the colored mist. Her silhouette gradually loses shape, fragmenting into delicate, iridescent particles that float into the night, leaving only the glowing city lights and rainfall untouched—amplifying the feeling of dreamy vanishing and emotional surrender."
https://static.higgsfield.ai/6475a3b1-b8bb-4cc6-82b7-7c05fbe57c95.mp4,"A dynamic, low-angle photo of a confident man in a vibrant neon green tracksuit leaning against a bold red wall under a bright sunflare. His arms are crossed as he tilts his head slightly, exuding calm dominance. At the peak of this moment, his body suddenly erupts into a spectacular explosion of neon green, lime yellow, and glowing white paint — the particles blast outward in fluid motion, tracing his former shape for a split second before completely dissolving into radiant mist and vanishing. His presence fades as if absorbed into the color around him."
https://static.higgsfield.ai/5526214d-f261-4cac-96cd-9ebc6dcf55d7.mp4,"A cinematic retro diner scene bathed in soft neon light, featuring a stylish young man seated alone in a green leather booth. He wears a sleek oversized leather jacket, wide gray trousers, and futuristic wraparound sunglasses. With one hand, he casually lifts a spoonful of soup toward his lips, his head slightly turned toward the glowing window signs, capturing a moment of calm intensity. Suddenly, his form erupts into a fluid explosion of molten color—glossy cherry reds, creamy whites, retro mint greens, and golden yellows burst outward from his torso in dynamic, swirling streams. The liquid pigments spiral and splash across the chrome table, upholstered booth, and checkered floor, creating a vivid contrast against the warm, nostalgic setting of the diner—yet the background remains untouched, amplifying the surreal spectacle of motion and color."
